sentence;url;place;lat;lon;sentiment_score;sentiment
migrants are more likely to get into trouble than locals, but this is mostly because they are more likely to be young and male.;http://www.informationclearinghouse.info/49708.htm;United Kingdom;54.0;-2.0;0.175;positive
migrant children are arriving unaccompanied at the border between Mexico and the United States.;http://www.cavalierdaily.com/article/2018/06/forero-the-cries-of-immigrant-children;Mexico;23.0;-102.0;0.0;neutral
"refugees is ""a global crisis"" and that most of those fleeing their homes are ending up in poor countries, not rich nations like the U.S.";https://abcnews.go.com/Politics/people-fleeing-violence-central-america-legal-apply-asylum/story?id=56119028;Bangladesh;24.0;90.0;-0.022;negative
migrant children are being housed.;http://nmpolitics.net/index/2018/06/udall-texas-congressmen-tour-tent-city-in-tornillo/;United States;38.0;-97.0;0.0;neutral
refugees it is already hosting.;http://www.arabnews.com/node/1327236/middle-east;Russia;60.0;100.0;0.0;neutral
refugees are stranded in the Mediterranean Sea as Malta and Italy have once again refused to allow a rescue ship carrying them to dock at their ports.;http://www.presstv.com/Detail/2018/06/24/565934/Italy-Malta-another-refugee-ship;Italy;42.83;12.83;0.0;neutral
refugees is “extremely foreign” to Israelis, and that even refugee advocates speak little about the Syrian issue because it seems fruitless.;https://www.businessinsider.com.au/the-countries-taking-syrias-refugees-2014-9;Germany;51.0;9.0;-0.156;negative
migrants are lawbreakers and it has no recourse but to carry out the law.;http://blogs.timesofisrael.com/trumps-immigration-policies-are-skin-deep/;China;35.0;105.0;0.0;neutral
"migrants is set at $10,000 to $15,000, ""although I have one right now for $25,000,"" an employee who asked not to be named told AFP.";http://www.france24.com/en/20180624-texas-border-towns-illegal-immigration-big-business;Mexico;23.0;-102.0;0.286;positive
Refugees are a global phenomenon.;http://cnnphilippines.com/news/2018/06/24/leila-de-lima-senate-bill-1854-refugees-stateless-people.html;Philippines;13.0;122.0;0.0;neutral
migrants are confirmed to have died or be missing thus far this year, while the figure stood at 3,116 in 2017 and 5,143 in 2016.;http://www.xinhuanet.com/english/2018-06/25/c_137277966.htm;Germany;51.0;9.0;0.1;positive
migrants are on the Continent, it has proved very difficult to send back those who do not qualify as refugees, especially since many destroy their documents at sea.;https://www.msn.com/en-us/news/world/angela-merkel-and-emmanuel-macron-try-to-save-the-european-union-e2-80-94-and-themselves/ar-AAz4Ka5;Germany;51.0;9.0;-0.07;negative
asylum seeker program is absolutely necessary and should include careful consideration to preserve the safety of all Americans and prevent costly impact on our systems.;https://www.parkrecord.com/opinion/guest-editorial-as-outrage-at-border-continues-u-s-must-adopt-a-more-humane-immigration-system/;United States;38.0;-97.0;-0.05;negative
migrants are not made fully aware of their full legal rights during expedited removal proceedings — the law still requires immigration judges hear out the claims of asylum-seekers and those who fear persecution if they are ejected from the country.;https://talkingpointsmemo.com/livewire/trump-says-u-s-should-expel-migrants-without-due-process;United States;38.0;-97.0;0.267;positive
migrants are taken to a processing area where they must be interviewed and asked whether they are afraid to return home.;https://www.nbcnews.com/storyline/immigration-border-crisis/try-later-it-s-getting-tougher-migrants-claim-asylum-u-n885861?cid=public-rss_20180624;Mexico;23.0;-102.0;-0.6;negative
migrant crisis is definitely not going away.;https://www.worldcrunch.com/migrant-lives-1/hardline-on-immigration-human-rights-or-democratic-will;Mexico;23.0;-102.0;0.0;neutral
migrants are a drain on the system and don’t pay their way.;https://www.theguardian.com/uk-news/2018/jun/24/reduce-home-office-fees-say-mps-campaigners;United Kingdom;54.0;-2.0;0.0;neutral
Migrants are seen on the ship Lifeline while the Malta Armed Forces arrive to send aid;https://www.bignewsnetwork.com/news/257549144/migrant-debate-splits-eu-mini-summit-seeks-solutions;Malta;35.83;14.58;0.0;neutral
refugees – not as many as Martin and I would like perhaps, but more than he is making out.;https://www.thenewsminute.com/article/should-business-schools-be-shut-down-two-professors-debate-83584;China;35.0;105.0;0.5;positive
migrants are currently 51% down on last year and 81% down on 2016.;https://www.theguardian.com/world/2018/jun/24/migration-is-threat-to-eu-free-travel-area-says-italian-prime-minister;Germany;51.0;9.0;-0.078;negative
Refugee Trilogy” is his personal reaction to this crisis.;https://www.deseretnews.com/article/900022447/byu-moa-refugees-exhibition-gives-the-human-side-of-those-hard-to-watch-news-stories.html;Kenya;1.0;38.0;0.0;neutral
migrant refugees” are actually an Islamic invasion as part of world domination.;http://freerepublic.com/focus/f-chat/3665791/posts;Afghanistan;33.0;65.0;0.0;neutral
migrants are treated in Britain.;http://www.econotimes.com/From-World-War-II-enemy-internment-to-Windrush-Britain-quickly-forgets-its-gratitude-to-economic-migrants-1384161;United Kingdom;54.0;-2.0;0.0;neutral
Refugee Resettlement is notified.;http://www.kion546.com/news/national-world/police-teen-reported-missing-from-texas-migrant-facility/758014731;Mexico;23.0;-102.0;0.0;neutral
migrants who are here and naturalized;http://www.foxnews.com/transcript/2018/06/23/judge-jeanine-political-debate-has-become-political-abuse.html;United States;38.0;-97.0;0.0;neutral
refugees who are living in the areas which are at the risk of landslides.;http://www.sify.com/news/bangladesh-rains-wreak-havoc-at-rohingya-camps-news-international-sgyhKfjchfceb.html;Bangladesh;24.0;90.0;0.0;neutral
asylum seekers are in a prison, the Bureau of Prisons regulations apply for visits but “ICE is currently … working to ensure that detainees have appropriate access to their legal representatives.”;https://www.seattletimes.com/nation-world/apxattorneys-say-no-access-to-asylum-seekers-in-oregon-prison/;Mexico;23.0;-102.0;0.233;positive
migrants are eligible to apply for asylum and send back those who don’t qualify.;http://nationalpost.com/pmn/news-pmn/macron-proposes-migrant-centres-in-europe-to-assess-cases;Italy;42.83;12.83;0.0;neutral
Migrants are first detained in CBP custody when they are apprehended at the border.;http://www.kvoa.com/story/38495975/trump-calls-for-deporting-migrants-immediately-without-a-trial;United States;38.0;-97.0;0.25;positive
migrants are stranded on two boats in the Mediterranean, including a Danish cargo ship, as a standoff between nearby European countries deepened on Sunday.;http://www.kyma.com/news/national-world/almost-350-migrants-are-stranded-on-two-boats-in-the-mediterranean/757940987;Germany;51.0;9.0;0.0;neutral
migrants are confirmed to be dead or missing thus far this year, while the figure stood at 3,116 in 2017 and 5,143 in 2016.;http://www.xinhuanet.com/english/2018-06/24/c_137277783.htm;Germany;51.0;9.0;0.025;positive
refugees are resourceful, and that they can be part of a solution, not part of a problem,” he said.;https://www.thecourier.com.au/story/5484975/special-film-screening-brings-a-new-story-of-refugees-to-ballarat/;Australia;-27.0;133.0;0.6;positive
refugees has not been seen anywhere in the world in recent times.;https://www.thedailystar.net/opinion/cybernautic-ruminations/the-uncertainty-continues-1594675;China;35.0;105.0;0.0;neutral
migrants belongings are piled on the floor inside the Catholic Charities of the Rio Grande Valley on Saturday, June 23, 2018, in McAllen, Texas.;http://www.dailymail.co.uk/wires/ap/article-5880503/At-hub-border-crossings-families-spread-US.html;United States;38.0;-97.0;0.0;neutral
migrants is ever justifiable.;https://www.lexology.com/library/detail.aspx?g=a0e34670-8924-4bbf-83ee-6262d309f0cc;Germany;51.0;9.0;0.0;neutral
migrant family is released from detention in McAllen, Texas, on Friday.;https://www.wsj.com/articles/trump-administration-reunites-522-immigrant-children-with-adults-1529850825;United States;38.0;-97.0;0.0;neutral
Refugees are negatively affected by the multiple displacements, loss of loved ones and properties, and the instability which lead to a sense of helplessness and despair.;https://reliefweb.int/report/iraq/house-artists-house-refugees-kurdistan-region-iraq-enar;Iraq;33.0;44.0;0.133;positive
migrants are not especially high, and there are few if any social costs: immigrants commit violent crimes at lower rates than citizens do.;https://washingtonmonthly.com/2018/06/24/republicans-draft-bill-to-cage-kids-for-longer-than-20-days/;Central African Republic;7.0;21.0;-0.252;negative
refugees is agreed.;https://www.independent.co.uk/news/world/europe/italys-far-right-government-rescue-ships-not-rescue-refugees-mediterranean-sea-matteo-salvini-a8414881.html;Italy;42.83;12.83;0.0;neutral
refugees are important to small businesses in San Diego as employees, customers and owners.;http://www.watertowndailytimes.com/national/as-refugee-numbers-plummet-jobs-go-unfilled-report-concludes-20180623;United States;38.0;-97.0;0.075;positive
migrant is apprehended within 160km of the border and has been in the country for less than 14 days.;https://www.sbs.com.au/news/trump-deport-illegal-immigrants-with-no-judges-or-court-cases;Australia;-27.0;133.0;-0.167;negative
migrants are rescued in the Mediterranean;https://www.timesofmalta.com/articles/view/20180624/local/last-chance-for-eu-on-migration.682600;Italy;42.83;12.83;0.0;neutral
refugee status is whether individuals can safely be returned home.;https://www.rescue.org/article/david-miliband-5-lessons-should-be-learned-us-mexico-border;Germany;51.0;9.0;0.5;positive
migrants are precisely the ones voting illegally.);http://www.nationalmemo.com/how-voter-fraud-claims-got-laughed-out-of-court-in-kansas/;United Kingdom;54.0;-2.0;-0.05;negative
migrant families are seeking asylum in the United States to escape violence in Central America.;http://www.timesheraldonline.com/opinion/20180624/david-white-shared-outrage;United States;38.0;-97.0;0.0;neutral
migrants are seeking asylum in the US.;http://www.theasianconnectionsnewspaper.com/trump-signs-executive-order-to-end-separation-of-immigrant-families-at-us-mexico-border/;British Indian Ocean Territory;-6.0;71.5;0.0;neutral
migrants are eligible to apply for asylum and send back those who don't qualify.;http://www.businessinsider.com/ap-macron-proposes-migrant-centers-in-europe-to-assess-cases-2018-6;Italy;42.83;12.83;0.0;neutral
migrants not only has a punitive effect for those who dare to resist, but also are intended to function as deterrent example for everyone else in the same circumstances.;http://www.anarkismo.net/article/31050;Greece;39.0;22.0;0.0;neutral
refugees are especially vulnerable to malnutrition.;https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12077238;Myanmar;22.0;98.0;-1.0;negative
refugee crisis is that it’s a new thing.;https://www.thenational.ae/arts-culture/nyuad-s-cartography-seeks-for-a-greater-understanding-of-the-plight-of-refugees-1.743750;Germany;51.0;9.0;0.136;positive
migrants are far from economically beneficial for society.;https://www.jewsnews.co.il/2018/06/24/each-muslim-migrant-costs-dutch-society-over-1150000.html;Netherlands;52.5;5.75;0.2;positive
migrants are victims of human smuggling, trafficking, prostitution, rape and a vast array of inhuman treatments – which constitute a grave violation of their fundamental human rights.;https://guardian.ng/opinion/from-migrants-to-refugees-the-circle-continues/;Mexico;23.0;-102.0;0.0;neutral
migrant is seeking asylum, as are many of those now coming from violence-plagued Central American nations.;http://seriouslypolitics.com/2018/06/24/09/47/43/trump-we-cannot-allow-all-of-these-people-to-invade-our-country/;Central African Republic;7.0;21.0;0.167;positive
Migrants are seen on the deck of Mission Lifeline rescue boat in the central Mediterranean Sea;https://www.msn.com/en-us/news/world/italy-criticizes-malta-over-migrant-ship-ahead-of-eu-summit/ar-AAz4Jve;Italy;42.83;12.83;0.0;neutral
refugees are more deserving of humane treatment than illegals.;https://www.cbsnews.com/news/roger-rosenblatt-on-why-the-family-separation-crisis-touches-us-all/;Vietnam;16.0;106.0;0.55;positive
migrant families are housed defies any sense of logic and human decency,” Gov.;http://www.westmilfordmessenger.com/apps/pbcs.dll/article?AID=/20180620/NEWS01/180629997/0/MILESTONES01/Updated:-President-Trump-signs-order-to-end-policy;United States;38.0;-97.0;0.0;neutral
migrant policies are no secret: He has called asylum seekers an “infestation” of criminals, rapists and liars.;https://www.huffingtonpost.com/entry/opinion-hong-asylum-family-separation_us_5b2f137ce4b0321a01d1beed;Honduras;15.0;-86.5;0.2;positive
Asylum seekers are not criminals and don’t belong in cages or detention centers that are essentially prisons.;https://www.politicususa.com/2018/06/24/the-shame-on-our-nation-for-this-humanitarian-crisis-will-last-for-generations.html;United States;38.0;-97.0;0.0;neutral
refugees who are living in the Jordanian territories.;http://saudigazette.com.sa/article/537501/Opinion/OP-ED/Jordan-protests-From-sincere-to-sinister;Tunisia;34.0;9.0;0.0;neutral
migrants are coming to the U.S. and not going to other, less violent countries in Latin America.;http://www.foxnews.com/politics/2018/06/24/senators-talk-refugee-crisis-but-divided-on-reasons-why-central-american-migrants-come-to-us.html;Mexico;23.0;-102.0;-0.364;negative
migrants not entitled to asylum, they should be returned directly to their country of origin and not via other countries, Macron added.;http://news.abs-cbn.com/business/06/24/18/macron-backs-sanctions-on-eu-states-that-refuse-migrants;Italy;42.83;12.83;-0.012;negative
"migrants are abused in southern Mexico primarily by criminal groups,"" a shelter director says.";https://www.wfdd.org/story/migrants-are-stuck-mexico-violence-back-home-and-zero-tolerance-us;Mexico;23.0;-102.0;-0.2;negative
migrant did not obtain a visa.;http://freerepublic.com/focus/f-news/3665640/posts;Italy;42.83;12.83;0.0;neutral
migrant families are leaving everything familiar behind and seeking asylum.;https://countercurrents.org/2018/06/24/separation-and-killing-of-children/;Honduras;15.0;-86.5;-0.013;negative
Refugees do not feel safe.;https://www.nation.co.ke/oped/letters/Treat-refugees-with-more-humanness/440806-4629088-wtvimmz/;Somalia;10.0;49.0;0.5;positive
migrants are still at danger on the road.;http://www.wbur.org/npr/611102667/a-personal-testimony-of-the-migrant-caravan;Mexico;23.0;-102.0;0.0;neutral
refugees were not “forcibly returned” and that the patients had “completed their treatment prior to leaving Taiwan.”;http://www.taipeitimes.com/News/front/archives/2018/06/25/2003695495;Nauru;-0.53;166.92;-0.125;negative
refugees are afraid that they have no more place to return to once the fighting ends....;https://www.business-humanrights.org/en/myanmar-villagers-fleeing-armed-conflict-in-kachin-lose-lands-to-chinese-banana-plantations;China;35.0;105.0;-0.425;negative
refugees is going up disproportionately.;https://www.postindependent.com/opinion/columns/candidate-guest-column-arn-menconi/;United States;38.0;-97.0;0.0;neutral
migrants who are rescued at sea.;https://www.maltatoday.com.mt/news/europe/87780/europe_hatches_plan_for_migrant_reception_centres_outside_the_bloc_;Germany;51.0;9.0;0.0;neutral
asylum seekers are arriving Europe and the US;https://kapital929.fm/68-5m-displaced-as-international-cooperation-peace-diplomacy-suffer-deep-crisis-nrc/;Bangladesh;24.0;90.0;0.0;neutral
refugees are predominantly from South Sudan, there is a marked decrease in numbers that were verified.;http://www.monitor.co.ug/OpEd/Commentary/We-found-inflated-refugee-numbers-but-we-know-why/689364-4628930-h128f2/;South Sudan;15.0;30.0;0.1;positive
migrant families are no longer being separated at the border, there's little the state can do to help reunite the children already brought to Michigan with their parents.;https://www.freep.com/story/news/local/michigan/detroit/2018/06/23/immigrant-babies-michigan-zero-tolerance/725448002/;Mexico;23.0;-102.0;-0.188;negative
refugees who are showcasing their culinary skills and native cuisines while raising their profiles as aspiring chefs as part of a program to increase awareness about the plight of refugees worldwide.;http://www.dailymail.co.uk/wires/ap/article-5880269/San-Francisco-restaurants-open-kitchens-refugee-chefs.html;Myanmar;22.0;98.0;0.0;neutral
refugee issue is not the only apple of discord in relations between Rome and Berlin;https://www.tasnimnews.com/en/news/2018/06/23/1758507/italian-deputy-pm-very-existence-of-united-europe-to-be-decided-within-the-year;Italy;42.83;12.83;0.0;neutral
asylum seekers are filling shelters along the border, as they wait their turn to make a claim.;https://www.usatoday.com/story/news/nation-now/2018/06/23/mexican-asylum-seekers-fill-shelters-along-california-border/728579002/;Central African Republic;7.0;21.0;0.0;neutral
migrants are taken in by Spain on June 17, after a turbulent week at sea.;https://www.dhakatribune.com/world/europe/2018/06/24/key-developments-in-europe-s-migration-crisis;Spain;40.0;-4.0;0.0;neutral
Migrants are seen on the ship Lifeline while the Malta Armed Forces arrive to send aid, near Malta in International Waters;http://www.dailymail.co.uk/news/article-5879471/Austrias-chancellor-says-ready-necessary-protect-borders.html;Malta;35.83;14.58;0.05;positive
migrant is apprehended within 100 miles (160km) of the border and has been in the country for less than 14 days.;https://www.stockandland.com.au/story/5486093/trump-calls-to-deny-illegals-due-process/;United States;38.0;-97.0;-0.167;negative
refugees are continuing to return with almost 115 people returning to their homes over the past 24 hours, according to the bulletin.;https://en.muraselon.com/2018/06/russian-military-demines-syrias-al-naseriyah-south-douma/;Russia;60.0;100.0;-0.25;negative
Refugee Day is observed every year on June 20 to honor those who have fled war, persecution and human rights abuses.;http://kjzz.org/content/662032/chandler-volunteers-pack-supplies-send-overseas-world-refugee-day;United States;38.0;-97.0;0.0;neutral
migrant Lega, is now a key player in Italy's government.;https://www.watoday.com.au/world/europe/australia-s-hard-line-on-asylum-seekers-echoes-around-the-world-20180622-p4zn3g.html;Italy;42.83;12.83;0.0;neutral
migrants did not receive the flyers, and the number proved unhelpful in many instances.;https://mic.com/articles/189970/trump-administration-says-it-can-locate-separated-children-but-reunification-will-be-a-challenge;United States;38.0;-97.0;0.5;positive
refugees is “a global crisis” and that most of those fleeing their homes are ending up in poor countries, not rich nations like the U.S.;http://kneb.com/abc_politics/people-fleeing-violence-in-central-america-have-legal-right-to-apply-for-asylum-in-us-advocate-abcid36083493/;Bangladesh;24.0;90.0;-0.022;negative
migrant advocates, not Congress.” Read more.;https://www.newyorker.com/books/double-take/sunday-reading-families-at-the-border;United States;38.0;-97.0;0.5;positive
"Refugees are vulnerable even before they set off from their home countries, as they are desperate, and often depend on an agent who may dupe them,"" she said.";http://www.asahi.com/ajw/articles/AJ201806240025.html;Thailand;15.0;100.0;-0.55;negative
asylum seekers are processed in the EU country of arrival, was no longer fit for purpose.;https://www.rte.ie/news/2018/0624/972783-european-union-summit-brussels/;Germany;51.0;9.0;0.4;positive
refugees is back on the agenda;https://www.thetimes.co.uk/edition/ireland/were-no-better-than-trump-on-refugees-z82qsksdx;Germany;51.0;9.0;0.0;neutral
migrant children is managed in part by a federal contractor based in Cape Canaveral called Comprehensive Health Services, which has held a contract at the Homestead camp since February 2018.;http://www.miaminewtimes.com/news/five-unanswered-miami-child-migrant-camp-questions-10463778;United States;38.0;-97.0;0.0;neutral
migrant numbers are down compared with previous years.;https://www.msn.com/en-us/news/money/discord-over-migrant-ships-deepens-european-divide/ar-AAz57u7;France;46.0;2.0;-0.161;negative
migrants are briefly housed to the infamous internment camps where Democrat icon FDR imprisoned 110;https://www.sott.net/article/389103-Illegal-immigration-internment-camps-and-the-utterings-of-useful-idiots;Congo, The Democratic Republic of the;0.0;25.0;-0.25;negative
asylum seekers are held at Dungavel.;http://www.heraldscotland.com/news/16310484.Call_to_allow_MSPs_annual_access_visits_to_Dungavel_detention_centre/;United Kingdom;54.0;-2.0;0.0;neutral
migrants should not be able to decide for themselves where to apply for asylum.;https://www.nytimes.com/2018/06/24/world/europe/eu-migration-dublin-regulation.html;Germany;51.0;9.0;0.5;positive
migrants are allegedly abused by the center's staff.;https://www.newsleader.com/story/news/local/2018/06/24/svjc-protesters-stop-torturing-children-rally/728875002/;Canada;60.0;-95.0;-0.1;negative
Refugees is Christian Despite 'Horrendous Persecution';http://www.aina.org/news/20180624135530.htm;Iraq;33.0;44.0;0.0;neutral
migrants is no different than that of the Irish fleeing the famine, Jews fleeing pogroms, or Central and Southern Europeans fleeing war and economic hardship or Fascist or Communist oppression.;http://www.aaiusa.org/washington_watch_lasting_damage_to_the_idea_of_america;Central African Republic;7.0;21.0;0.04;positive
refugees are wanted by Syrian security services or will be forced to enlist in the army.;https://gulfnews.com/news/mena/lebanon/in-quest-to-form-lebanon-cabinet-aoun-racks-up-enemies-1.2241173;Lebanon;33.83;35.83;-0.3;negative
refugees are escaping?;https://www.strategic-culture.org/news/2018/06/24/how-us-under-obama-created-europe-refugee-crisis.html;Saudi Arabia;25.0;45.0;0.0;neutral
migrants are seeking entry into the U.S., saying many are fleeing violence in their home countries.;https://www.nbcnews.com/politics/first-read/lankford-vast-majority-migrants-coming-economic-reasons-n886126?cid=public-rss_20180624;United Kingdom;54.0;-2.0;0.5;positive
refugees who are stranded in Indonesia.;http://www.abc.net.au/news/2018-06-25/iranian-refugee-life-on-hold-in-jakarta/9735548;Indonesia;-5.0;120.0;0.0;neutral
migrant families are released from detention at a bus depot in McAllen;http://www.msn.com/en-us/news/us/us-says-still-working-to-reunite-2053-children-with-families/ar-AAz4Ahy;United States;38.0;-97.0;0.0;neutral
Migrants are seen on the deck of the Mission Lifeline rescue boat in the central Mediterranean Sea, June 21, 2018.;https://ca.reuters.com/article/topNews/idCAKBN1JK0BN-OCATP;Italy;42.83;12.83;0.0;neutral
refugee crisis is a global crisis.;https://www.insidethegames.biz/articles/1066613/world-taekwondo-underlines-commitment-to-refugee-mission;Rwanda;-2.0;30.0;0.0;neutral
refugees who are still living in areas at the risk of landslides.;https://www.dhakatribune.com/bangladesh/nation/2018/06/24/monsoon-rains-wreak-havoc-at-cox-s-bazar-rohingya-camps;Bangladesh;24.0;90.0;0.0;neutral
migrants is not peculiar to America.;https://www.barbadosadvocate.com/columns/guy%E2%80%99s-view-perils-immigration-and-rights-child-1;United States;38.0;-97.0;0.0;neutral
migrant children are soon sent to be housed on military bases.;https://uk.reuters.com/article/uk-usa-immigration/us-military-may-house-immigrant-children-as-trump-policy-beset-by-confusion-idUKKBN1JH219;Mexico;23.0;-102.0;-0.1;negative
refugees are extremely vulnerable to exploitation.;https://human-wrongs-watch.net/2018/06/24/true-stories-of-trafficked-rohingya-refugees/;Bangladesh;24.0;90.0;-0.5;negative
migrants is wrong for more reasons than you think | Opinion;https://www.tennessean.com/story/opinion/2018/06/23/treatment-immigrants-wrong-more-reasons-than-you-think-opinion/721571002/;Honduras;15.0;-86.5;0.0;neutral
refugees who are simply disposable numbers rather than people.;https://www.timesofmalta.com/articles/view/20180624/religion/birth-of-john-the-baptist-interrupting-silence.682668;Mexico;23.0;-102.0;0.0;neutral
migrant is apprehended within 160 kilometres of the border and has been in the country less than 14 days.;https://www.thenational.ae/world/the-americas/trump-says-illegal-immigrants-should-be-deported-with-no-judges-or-court-cases-1.743816;United States;38.0;-97.0;-0.167;negative
migrants do not head for Italy because of an accident of geography.;https://spectator.sme.sk/c/20856449/v4-politicians-are-not-even-willing-to-help-fellow-europeans.html;Italy;42.83;12.83;0.0;neutral
refugee camp is not,” said Matteo Salvini, Italy’s Deputy Prime Minister, in a tweet.;https://lethbridgeherald.com/commentary/opinions/2018/06/24/migrants-the-borders-are-closing/;Italy;42.83;12.83;0.0;neutral
asylum seekers are Australia's dependants.;https://www.theage.com.au/national/asylum-seekers-explain-the-secrecy-over-sending-the-ill-to-taiwan-20180624-h11sfk.html;Australia;-27.0;133.0;0.0;neutral
refugee horde is fiction.;https://www.theguardian.com/commentisfree/2018/jun/24/dont-ignore-migrant-boats-just-because-they-are-not-landing-in-britain;South Sudan;15.0;30.0;0.0;neutral
migrants are fleeing in their home countries, which includes gang violence, something the Trump administration says will no longer be considered grounds for asylum.;https://www.abqjournal.com/1188528/its-past-time-for-real-immigration-reform.html;Mexico;23.0;-102.0;0.0;neutral
refugees are in developing countries and 40 million of all displaced people are not able to get to an international border.;https://thearabweekly.com/global-migration-american-dream-nightmare;Italy;42.83;12.83;-0.125;negative
refugee problem is building up on its Golan border.;http://pundita.blogspot.com/2018/06/uh-oh-are-israeli-military-hawks-now.html;United States;38.0;-97.0;0.0;neutral
asylum seekers are refused entry;http://www.timescolonist.com/opinion/op-ed/island-voices-obligations-to-refugees-and-ourselves-1.23346184;Mexico;23.0;-102.0;0.0;neutral
migrants are arriving for economic reasons.;https://www.newsmax.com/politics/james-lankford-dhs-knows-where-separated/2018/06/24/id/867984/;United States;38.0;-97.0;0.2;positive
